fn_id,source,dest,humanreview,humancomment
FN_0018,amount,upi_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0019,balance,balance_current,ACCEPT,Both refer to account current balance; naming-order differences (balance_current vs current_balance) are synonymous in banking payloads.
FN_0020,balance,current_balance,ACCEPT,Both refer to account current balance; naming-order differences (balance_current vs current_balance) are synonymous in banking payloads.
FN_0021,balance,plaid_balance_current,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0022,balance_current,current_balance,ACCEPT,Both refer to account current balance; naming-order differences (balance_current vs current_balance) are synonymous in banking payloads.
FN_0023,balance_current,plaid_balance_current,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0024,bank_account_number,plaid_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0025,beneficiary_virtual_payment_address,payee_addr,ACCEPT,These are synonymous representations of UPI VPA / payee address used to route a payment. Merge at canonical level; retain role (payer vs payee) separately if available.
FN_0026,beneficiary_virtual_payment_address,payee_virtual_payment_address,ACCEPT,These are synonymous representations of UPI VPA / payee address used to route a payment. Merge at canonical level; retain role (payer vs payee) separately if available.
FN_0027,beneficiary_virtual_payment_address,upi_payee_virtual_payment_address,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0028,brand,card_brand,ACCEPT,"In card payments, brand/network are often used interchangeably to denote card scheme (e.g., Visa/Mastercard). Merge as card_brand."
FN_0029,brand,network,ACCEPT,"In card payments, brand/network are often used interchangeably to denote card scheme (e.g., Visa/Mastercard). Merge as card_brand."
FN_0030,brand,stripe_card_brand,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0031,card_acceptor_identifier,card_acceptor_identifier_code,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0032,card_acceptor_identifier,mastercard_card_acceptor_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0033,card_acceptor_identifier_code,mastercard_card_acceptor_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0034,card_brand,network,ACCEPT,"In card payments, brand/network are often used interchangeably to denote card scheme (e.g., Visa/Mastercard). Merge as card_brand."
FN_0035,card_brand,stripe_card_brand,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0036,card_expiration_date,expiration_date,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0037,card_expiration_date,inamex_expiration_date,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0038,card_expiration_date,ppvisa_expiration_date,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0039,card_holder_name,cardholder,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0040,card_holder_name,cardholder_name,ACCEPT,Both represent the same party name field (debtor/creditor/cardholder); naming variation only.
FN_0041,card_holder_name,inamex_card_holder_name,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0042,card_holder_name,ppvisa_cardholder,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0043,card_issuer,issuer,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0044,card_issuer,ppvisa_issuer,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0045,card_last4,last4,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0046,card_last4,stripe_card_last4,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0047,card_number,card_primary_account_number,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0048,card_number,inamex_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0049,card_number,mastercard_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0050,card_number,ppvisa_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0051,card_number,primary_account_number,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0052,card_primary_account_number,inamex_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0053,card_primary_account_number,mastercard_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0054,card_primary_account_number,ppvisa_primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0055,card_primary_account_number,primary_account_number,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0056,card_verification_value,inamex_card_verification_value,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0057,card_verification_value,ppvisa_verification_value,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0058,card_verification_value,security_code,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0059,card_verification_value,verification_value,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0060,cardholder,cardholder_name,ACCEPT,Both represent the same party name field (debtor/creditor/cardholder); naming variation only.
FN_0061,cardholder,inamex_card_holder_name,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0062,cardholder,ppvisa_cardholder,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0063,cardholder_name,inamex_card_holder_name,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0064,cardholder_name,ppvisa_cardholder,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0065,contact,customer_contact,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0066,contact,mobile,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0067,contact,phone,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0068,contact,razorpay_contact,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0069,created,created_at,ACCEPT,Both denote the same temporal field (created or transaction timestamp) with abbreviation/variant naming. Merge at canonical timestamp attribute.
FN_0070,created,razorpay_created_at,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0071,created,stripe_created,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0072,created_at,razorpay_created_at,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0073,created_at,stripe_created,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0074,creditor_account,iso20022_creditor_account,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0075,creditor_name,iso20022_creditor_name,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0076,currency,iso20022_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0077,currency,iso_currency_code,ACCEPT,Both refer to ISO currency code used for the payment. Merge as canonical payment currency.
FN_0078,currency,payment_currency,ACCEPT,Both refer to ISO currency code used for the payment. Merge as canonical payment currency.
FN_0079,currency,plaid_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0080,currency,razorpay_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0081,currency,stripe_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0082,currency,upi_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0083,current_balance,plaid_balance_current,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0084,customer,customer_identifier,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0085,customer,stripe_customer_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0086,customer_contact,mobile,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0087,customer_contact,phone,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0088,customer_contact,razorpay_contact,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0089,customer_email,email,ACCEPT,Email fields represent the same customer email contact; merge as customer_email.
FN_0090,customer_email,razorpay_email,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0091,customer_identifier,stripe_customer_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0092,debtor_account,iso20022_debtor_account,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0093,debtor_name,iso20022_debtor_name,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0094,e2e_identifier,end_to_end_identifier,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0095,e2e_identifier,iso20022_end_to_end_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0096,email,razorpay_email,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0097,end_to_end_identifier,iso20022_end_to_end_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0098,expiration_date,inamex_expiration_date,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0099,expiration_date,ppvisa_expiration_date,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0100,inamex_card_verification_value,security_code,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0101,inamex_card_verification_value,verification_value,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0102,inamex_primary_account_number,primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0103,instructed_amount,iso20022_instructed_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0104,instructed_amount,mastercard_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0105,instructed_amount,payment_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
FN_0106,instructed_amount,plaid_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0107,instructed_amount,razorpay_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0108,instructed_amount,stripe_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0109,instructed_amount,transaction_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
FN_0110,instructed_amount,upi_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0111,iso20022_currency,iso_currency_code,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0112,iso20022_currency,payment_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0113,iso20022_instructed_amount,payment_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0114,iso20022_instructed_amount,transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0115,iso20022_msg_identifier,message_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0116,iso20022_msg_identifier,msg_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0117,iso20022_reqd_exctn_dt,reqd_exctn_dt,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0118,iso20022_reqd_exctn_dt,requested_execution_date,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0119,iso_currency_code,payment_currency,ACCEPT,Both refer to ISO currency code used for the payment. Merge as canonical payment currency.
FN_0120,iso_currency_code,plaid_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0121,iso_currency_code,razorpay_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0122,iso_currency_code,stripe_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0123,iso_currency_code,upi_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0124,issuer,ppvisa_issuer,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0125,last4,stripe_card_last4,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0126,mastercard_merchant_category_code,mcc,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0127,mastercard_merchant_category_code,merchant_category_code,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0128,mastercard_primary_account_number,primary_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0129,mastercard_processing_code,proc_code,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0130,mastercard_processing_code,processing_code,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0131,mastercard_system_trace_audit_number,stan,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0132,mastercard_system_trace_audit_number,system_trace_audit_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0133,mastercard_transaction_amount,payment_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0134,mastercard_transaction_amount,transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0135,mastercard_transmission_datetime,transmission_datetime,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0136,mastercard_transmission_datetime,transmission_ts,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0137,mcc,merchant_category_code,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0138,message_identifier,msg_identifier,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0139,method,payment_method,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0140,method,razorpay_method,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0141,method,stripe_payment_method,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0142,mobile,phone,ACCEPT,All denote customer contact number; mobile/phone are channel variants but typically treated as a single customer_contact attribute in payment entity schemas.
FN_0143,mobile,razorpay_contact,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0144,network,stripe_card_brand,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0145,order_identifier,razorpay_order_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0146,payee_addr,payee_virtual_payment_address,ACCEPT,These are synonymous representations of UPI VPA / payee address used to route a payment. Merge at canonical level; retain role (payer vs payee) separately if available.
FN_0147,payee_addr,upi_payee_virtual_payment_address,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0148,payee_virtual_payment_address,upi_payee_virtual_payment_address,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0149,payer_account,upi_payer_account,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0150,payment_amount,plaid_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0151,payment_amount,razorpay_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0152,payment_amount,stripe_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0153,payment_amount,transaction_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
FN_0154,payment_amount,upi_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0155,payment_currency,plaid_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0156,payment_currency,razorpay_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0157,payment_currency,stripe_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0158,payment_currency,upi_currency,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0159,payment_identifier,razorpay_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0160,payment_identifier,razorpay_payment_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0161,payment_intent_identifier,pi_identifier,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
