decision_id,decision_type,raw_attribute_a,raw_attribute_b,canonical_node,payment_type_a,payment_type_b,semantic_family_a,semantic_family_b,role_a,role_b,evidence,normal_form_checks,hard_vetoes,decision_reason,lineage_action,decision_scope,evaluation_scope,track
dec::production::ISO20022::instd_amount::UPI::transaction_amount,ACCEPT_MERGE,ISO20022.instd_amt,UPI.txn_amount,payment_amount,ISO20022,UPI,payment:amount,payment:amount,instructed_amount,transaction_amount,"{""embedding_similarity"": 0.5453302761626847, ""explicit_alias"": true, ""name_similarity"": 0.3333333333333333, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=3 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::currency::Plaid::currency,ACCEPT_MERGE,ISO20022.currency,Plaid.currency,payment_currency,ISO20022,Plaid,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::currency::Razorpay::currency,ACCEPT_MERGE,ISO20022.currency,Razorpay.currency,payment_currency,ISO20022,Razorpay,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::currency::Stripe::currency,ACCEPT_MERGE,ISO20022.currency,Stripe.currency,payment_currency,ISO20022,Stripe,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::currency::UPI::currency,ACCEPT_MERGE,ISO20022.currency,UPI.currency,payment_currency,ISO20022,UPI,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Mastercard::primary_account_number::Plaid::account_number,REJECT,Mastercard.primary_account_number,Plaid.account_number,card_primary_account_number|bank_account_number,Mastercard,Plaid,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,"{""embedding_similarity"": 0.6124329182307915, ""explicit_alias"": true, ""name_similarity"": 0.6666666666666666, ""same_canonical"": false, ""same_family"": false, ""signals"": [""schema_declared_alias"", ""name_similarity""]}","{""AANF"": {""reason"": ""schema_declared_alias, name_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""rail mismatch card_network_iso8583 vs open_banking"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""partition mismatch"", ""status"": ""FAIL""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Mastercard::primary_account_number::PPVisa::primary_account_number,ACCEPT_MERGE,Mastercard.primary_account_number,PPVisa.pan,card_primary_account_number,Mastercard,PPVisa,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.8469249844837797, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Mastercard::transaction_amount::Plaid::transaction_amount,ACCEPT_MERGE,Mastercard.transaction_amount,Plaid.transaction_amount,payment_amount,Mastercard,Plaid,payment:amount,payment:amount,transaction_amount,transaction_amount,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Mastercard::transaction_amount::Razorpay::amount,ACCEPT_MERGE,Mastercard.transaction_amount,Razorpay.amount,payment_amount,Mastercard,Razorpay,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.8378406312917689, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Mastercard::transaction_amount::Stripe::amount,ACCEPT_MERGE,Mastercard.transaction_amount,Stripe.amount,payment_amount,Mastercard,Stripe,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.8378406312917689, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Mastercard::transaction_amount::UPI::transaction_amount,ACCEPT_MERGE,Mastercard.transaction_amount,UPI.txn_amount,payment_amount,Mastercard,UPI,payment:amount,payment:amount,transaction_amount,transaction_amount,"{""embedding_similarity"": 0.8259546817656448, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Plaid::account_number::PPVisa::primary_account_number,REJECT,Plaid.account_number,PPVisa.pan,bank_account_number|card_primary_account_number,Plaid,PPVisa,payment_account:account_number,payment_card:pan,bank_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.4931244423636265, ""explicit_alias"": false, ""name_similarity"": 0.6666666666666666, ""same_canonical"": false, ""same_family"": false, ""signals"": [""name_similarity""]}","{""AANF"": {""reason"": ""name_similarity"", ""status"": ""FAIL""}, ""CMNF"": {""reason"": ""rail mismatch open_banking vs card_payment"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=1 required=2"", ""status"": ""DEFER""}, ""PONF"": {""reason"": ""partition mismatch"", ""status"": ""FAIL""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Plaid::currency::Razorpay::currency,ACCEPT_MERGE,Plaid.currency,Razorpay.currency,payment_currency,Plaid,Razorpay,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Plaid::currency::Stripe::currency,ACCEPT_MERGE,Plaid.currency,Stripe.currency,payment_currency,Plaid,Stripe,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Plaid::currency::UPI::currency,ACCEPT_MERGE,Plaid.currency,UPI.currency,payment_currency,Plaid,UPI,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
